Кадастровый номер,"Площадь, м²",Категория земли,Статус,Адрес,Собственность,ВРИ,Тип ВРИ,Записей о правах,Обременения,Кадастровый квартал,"Кадастровая стоимость, руб.","Удельный показатель, руб./м²","Рыночная стоимость, руб.","Медианная цена, руб./м²",Сделок в выборке,Период сделок,Свободен,ИЖС,СНТ,ДНП,ЛПХ,Под застройку,Общего пользования,Земли НП,Широта,Долгота
16:33:040412:1146,1293.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул. Дружбы, з/у 8",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,486193.08,376.0194,,,,,нет,нет,нет,нет,нет,да,нет,да,55.68473680312916,49.70408035864058
16:33:040422:211,700.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Счастливая, з/у 40.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,344774.5,492.54,,,,,нет,нет,нет,нет,нет,да,нет,да,55.69922542142558,49.69056878304232
16:33:040422:1316,700.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Рафаэля Набиуллина, з/у 47.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,338292.57,483.2751,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70441793383136,49.69157714419634
16:33:040101:269,1323.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул М.Конова, з/у 24б",Частная,для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:040101,505350.68,381.9733,,,,,нет,нет,нет,нет,да,да,нет,да,55.72311783849837,49.71501138381033
16:33:040422:66,702.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Светлая, з/у 12.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,362795.28,516.8024,,,,,нет,нет,нет,нет,нет,да,нет,да,55.69697402808377,49.68711363891846
16:33:040422:197,700.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Счастливая, з/у 45.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,356259.33,508.9419,,,,,нет,нет,нет,нет,нет,да,нет,да,55.69992007399596,49.69101167973311
16:33:040105:28,2000.0,Земли населенных пунктов,Ранее учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Тукая, з/у 12",Частная,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:040105,654347.4,327.17,,,,,нет,нет,нет,нет,да,да,нет,да,55.71463938663589,49.718428324579136
16:33:040104:30,,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Советская, з/у 4.",,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:040104,595970.7,302.52,,,,,да,нет,нет,нет,да,да,нет,да,55.70761193684365,49.715607043985536
16:33:040422:336,758.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Счастливая, з/у 93.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,290435.43,383.1602,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70290059958958,49.698290419585135
16:33:040422:1440,499.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Вишневая, з/у 19.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,264712.36,530.49,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70230332560738,49.68693367359701
16:33:040422:1326,601.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Рафаэля Набиуллина, з/у 57.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,271576.27,451.87,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70461791154555,49.693418974614765
16:33:040422:703,600.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул 8-е марта, з/у 34.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,243638.82,406.0647,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70784974169707,49.69462878143656
16:33:040412:1029,1000.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул. Динара Хаметова, з/у 4",Муниципальная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,373881.9,373.8819,,,,,да,нет,нет,нет,нет,да,нет,да,55.68723753723665,49.69860897329955
16:33:040422:1641,500.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Высокая, з/у 46",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,222395.9,444.7918,,,,,нет,нет,нет,нет,нет,да,нет,да,55.69862134456761,49.69334510007999
16:33:040422:750,600.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул 2-я Строителей, з/у 41.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,259057.68,431.76,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70683633312907,49.69315261941356
16:33:040422:1074,700.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Светлая, з/у 38.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,333899.16,477.0,,,,,нет,нет,нет,нет,нет,да,нет,да,55.69856452341902,49.69102550820309
16:33:040412:449,500.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Рябиновая, з/у 2.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,240809.8,481.62,,,,,нет,нет,нет,нет,нет,да,нет,да,55.6948322019917,49.68787444898611
16:33:040412:513,508.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Яблоневая, з/у 11.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,209175.25,411.7623,,,,,нет,нет,нет,нет,нет,да,нет,да,55.69331037910778,49.69207020414516
16:33:040422:1447,499.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Вишневая, з/у 33.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,261721.06,524.49,,,,,нет,нет,нет,нет,нет,да,нет,да,55.702392908645336,49.68915499362701
