zone_index,area_m2,area_ha,centroid_lat,centroid_lon
1,27374.4,2.7374,55.557636,49.283227
2,601088.8,60.1089,55.570083,49.293432
3,217587.9,21.7588,55.576619,49.292218
4,1855.4,0.1855,55.558639,49.285492
5,111780.1,11.178,55.558842,49.290706
6,2477019.5,247.702,55.561162,49.313396
7,25152.6,2.5153,55.552439,49.292603
8,98225.7,9.8226,55.554112,49.29651
